record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2024-03-21,923.0,923.0,923.0,923.0,0.0,18,16614,16614
2024-03-13,923.0,923.0,923.0,923.0,0.0,30,27690,27690
2023-11-03,923.0,923.0,923.0,923.0,0.0,46,42458,42458
2023-03-30,923.0,923.0,923.0,923.0,0.0,14,12922,12922
2023-02-22,923.0,923.0,923.0,923.0,50.08,20,18460,18460
2021-05-26,615.0,615.0,615.0,615.0,0.0,20,12300,12300
2018-07-25,615.0,615.0,615.0,615.0,0.0,24,14760,14760
2017-09-07,615.0,615.0,615.0,615.0,0.0,38,23370,23370
2016-05-31,615.0,615.0,615.0,615.0,100.33,17,10455,10455
2015-07-07,307.0,307.0,307.0,307.0,0.0,21,6447,6447
2015-02-06,307.0,307.0,307.0,307.0,0.0,22,6754,6754
